;;;;;
02/04/2024;Cabe Bubuk;Jar 55gr;2; Rp40.000 ; Rp80.000 
02/04/2024;Bawang Putih Bubuk;Jar 55gr;5; Rp40.000 ; Rp200.000 
02/04/2024;Jahe Bubuk;Jar 50gr;3; Rp50.000 ; Rp150.000 
02/04/2024;Daun Kelor Bubuk;Ziplock 125gr;4; Rp45.000 ; Rp180.000 
02/04/2024;Cabe Bubuk;Ziplock 50gr;10; Rp20.000 ; Rp200.000 
02/04/2024;Jahe Bubuk;Jar 250gr;9; Rp80.000 ; Rp720.000 
03/04/2024;Bawang Bombay Bubuk;Ziplock 50gr;3; Rp25.000 ; Rp75.000 
03/04/2024;Pala Bubuk;Jar 55gr;9; Rp45.000 ; Rp405.000 
03/04/2024;Cengkeh Bubuk;Ziplock 50gr;8; Rp25.000 ; Rp200.000 
03/04/2024;Bawang Putih Bubuk;Jar 250gr;5; Rp80.000 ; Rp400.000 
03/04/2024;Arena Arabica Wine COffe;Dus 20gr;20; Rp8.000 ; Rp160.000 
03/04/2024;Daun Kelor Bubuk;Jar 50gr;9; Rp30.000 ; Rp270.000 
04/04/2024;Cabe Bubuk;Jar 55gr;7; Rp40.000 ; Rp280.000 
04/04/2024;Kunyit Bubuk;Ziplock 50gr;6; Rp20.000 ; Rp120.000 
04/04/2024;Merica Bubuk;Jar 55gr;7; Rp40.000 ; Rp280.000 
04/04/2024;Ketumbar Bubuk;Jar 55gr;2; Rp40.000 ; Rp80.000 
04/04/2024;Jahe Bubuk;Jar 250gr;11; Rp80.000 ; Rp880.000 
04/04/2024;Arena Gula Aren;Jar 300gr;5; Rp50.000 ; Rp250.000 
04/04/2024;Bawang Putih Bubuk;Ziplock 50gr;3; Rp20.000 ; Rp60.000 
05/04/2024;Cengkeh Bubuk;Jar 250gr;2; Rp100.000 ; Rp200.000 
05/04/2024;Merica Bubuk;Ziplock 50gr;3; Rp20.000 ; Rp60.000 
05/04/2024;Cabe Bubuk;Ziplock 50gr;10; Rp20.000 ; Rp200.000 
05/04/2024;Ketumbar Bubuk;Jar 55gr;3; Rp40.000 ; Rp120.000 
05/04/2024;Arena Gula Aren Sirup;Botol 500ml;1; Rp40.000 ; Rp40.000 
06/04/2024;Arena Gula Aren;Ziplock 200gr;1; Rp35.000 ; Rp35.000 
06/04/2024;Arena Arabica Wine COffe;Dus 20gr;12; Rp8.000 ; Rp96.000 
06/04/2024;Kapulaga bubuk;Ziplock 50gr;3; Rp20.000 ; Rp60.000 
06/04/2024;Daun Kelor Bubuk;Ziplock 125gr;1; Rp45.000 ; Rp45.000 
06/04/2024;Bawang Putih Bubuk;Ziplock 50gr;5; Rp20.000 ; Rp100.000 
06/04/2024;Cabe Bubuk;Jar 55gr;9; Rp40.000 ; Rp360.000 
06/04/2024;Cabe Bubuk;Ziplock 50gr;4; Rp20.000 ; Rp80.000 
06/04/2024;Ketumbar Bubuk;Jar 55gr;2; Rp40.000 ; Rp80.000 
07/04/2024;Jahe Bubuk;Jar 50gr;5; Rp30.000 ; Rp150.000 
07/04/2024;Ketumbar Bubuk;Jar 55gr;3; Rp40.000 ; Rp120.000 
07/04/2024;Kunyit Bubuk;Jar 250gr;7; Rp80.000 ; Rp560.000 
07/04/2024;Kapulaga Bubuk;Ziplock 50gr;5; Rp25.000 ; Rp125.000 
07/04/2024;Bawang Putih Bubuk;Ziplock 50gr;6; Rp20.000 ; Rp120.000 
07/04/2024;Merica Bubuk;Ziplock 50gr;3; Rp20.000 ; Rp60.000 
07/04/2024;Bawang Putih Bubuk;Jar 55gr;7; Rp40.000 ; Rp280.000 
07/04/2024;Merica Bubuk;Jar 55gr;9; Rp40.000 ; Rp360.000 
07/04/2024;Arena Gula Aren;Ziplock 200gr;2; Rp35.000 ; Rp70.000 
07/04/2024;Lengkuas Bubuk;Jar 250gr;2; Rp80.000 ; Rp160.000 
08/04/2024;Bawang Bombay Bubuk;Ziplock 50gr;1; Rp25.000 ; Rp25.000 
08/04/2024;Kunyit Bubuk;Jar 250gr;1; Rp80.000 ; Rp80.000 
08/04/2024;Ketumbar Bubuk;Jar 55gr;3; Rp40.000 ; Rp120.000 
08/04/2024;Jahe Bubuk;Jar 250gr;2; Rp80.000 ; Rp160.000 
08/04/2024;Arena Gula Aren;Jar 300gr;1; Rp50.000 ; Rp50.000 
08/04/2024;Bawang Putih Bubuk;Ziplock 50gr;15; Rp20.000 ; Rp300.000 
08/04/2024;Cabe Bubuk;Ziplock 50gr;7; Rp20.000 ; Rp140.000 
08/04/2024;Cengkeh Bubuk;Jar 250gr;5; Rp100.000 ; Rp500.000 
08/04/2024;Merica Bubuk;Jar 55gr;3; Rp40.000 ; Rp120.000 
08/04/2024;Cabe Bubuk;Jar 55gr;5; Rp40.000 ; Rp200.000 
08/04/2024;Bawang Putih Bubuk;Jar 250gr;1; Rp100.000 ; Rp100.000 
09/04/2024;Cabe Bubuk;Jar 55gr;9; Rp40.000 ; Rp360.000 
09/04/2024;Bawang Putih Bubuk;Jar 55gr;6; Rp40.000 ; Rp240.000 
09/04/2024;Jahe Bubuk;Jar 50gr;13; Rp50.000 ; Rp650.000 
09/04/2024;Daun Kelor Bubuk;Ziplock 125gr;2; Rp45.000 ; Rp90.000 
09/04/2024;Ketumbar Bubuk;Jar 55gr;5; Rp40.000 ; Rp200.000 
09/04/2024;Cengkeh Bubuk;Jar 250gr;7; Rp100.000 ; Rp700.000 
09/04/2024;Cabe Bubuk;Jar 55gr;3; Rp40.000 ; Rp120.000 
09/04/2024;Cabe Bubuk;Ziplock 50gr;6; Rp20.000 ; Rp120.000 
09/04/2024;Kapulaga Bubuk;Ziplock 50gr;1; Rp25.000 ; Rp25.000 
09/04/2024;Jahe Bubuk;Jar 250gr;10; Rp80.000 ; Rp800.000 
09/04/2024;Bawang Bombay Bubuk;Ziplock 50gr;6; Rp25.000 ; Rp150.000 
10/04/2024;Daun Kelor Bubuk;Ziplock 125gr;3; Rp45.000 ; Rp135.000 
10/04/2024;Merica Bubuk;Ziplock 50gr;8; Rp20.000 ; Rp160.000 
10/04/2024;Arena Gula Aren;Ziplock 200gr;3; Rp35.000 ; Rp105.000 
10/04/2024;Kunyit Bubuk;Ziplock 50gr;5; Rp20.000 ; Rp100.000 
10/04/2024;Cengkeh Bubuk;Ziplock 50gr;5; Rp25.000 ; Rp125.000 
10/04/2024;Cabe Bubuk;Jar 55gr;7; Rp40.000 ; Rp280.000 
10/04/2024;Jahe Bubuk;Jar 50gr;8; Rp50.000 ; Rp400.000 
10/04/2024;Ketumbar Bubuk;Jar 55gr;3; Rp40.000 ; Rp120.000 
11/04/2024;Arena Gula Aren Sirup;Botol 500ml;1; Rp40.000 ; Rp40.000 
11/04/2024;Daun Kelor Bubuk;Ziplock 125gr;5; Rp45.000 ; Rp225.000 
11/04/2024;Cabe Bubuk;Ziplock 50gr;9; Rp20.000 ; Rp180.000 
11/04/2024;Kunyit Bubuk;Jar 250gr;7; Rp80.000 ; Rp560.000 
11/04/2024;Jahe Bubuk;Jar 50gr;1; Rp50.000 ; Rp50.000 
12/04/2024;Arena Gula Aren Sirup;Botol 500ml;1; Rp40.000 ; Rp40.000 
12/04/2024;Daun Kelor Bubuk;Ziplock 125gr;3; Rp45.000 ; Rp135.000 
12/04/2024;Cabe Bubuk;Ziplock 50gr;5; Rp20.000 ; Rp100.000 
12/04/2024;Kunyit Bubuk;Jar 250gr;1; Rp80.000 ; Rp80.000 
12/04/2024;Cengkeh Bubuk;Ziplock 50gr;10; Rp25.000 ; Rp250.000 
12/04/2024;Jahe Bubuk;Jar 50gr;8; Rp50.000 ; Rp400.000 
12/04/2024;Ketumbar Bubuk;Jar 55gr;9; Rp40.000 ; Rp360.000 
12/04/2024;Bawang Putih Bubuk;Jar 55gr;4; Rp40.000 ; Rp160.000 
13/04/2024;Bawang Bombay Bubuk;Ziplock 50gr;6; Rp25.000 ; Rp150.000 
13/04/2024;Kunyit Bubuk;Jar 250gr;7; Rp80.000 ; Rp560.000 
13/04/2024;Ketumbar Bubuk;Jar 55gr;3; Rp40.000 ; Rp120.000 
13/04/2024;Jahe Bubuk;Jar 250gr;2; Rp80.000 ; Rp160.000 
13/04/2024;Arena Gula Aren;Jar 300gr;1; Rp50.000 ; Rp50.000 
13/04/2024;Bawang Putih Bubuk;Ziplock 50gr;4; Rp20.000 ; Rp80.000 
13/04/2024;Cabe Bubuk;Jar 55gr;3; Rp40.000 ; Rp120.000 
13/04/2024;Cabe Bubuk;Ziplock 50gr;9; Rp20.000 ; Rp180.000 
13/04/2024;Kapulaga Bubuk;Ziplock 50gr;2; Rp25.000 ; Rp50.000 
14/04/2024;Bawang Bombay Bubuk;Ziplock 50gr;5; Rp25.000 ; Rp125.000 
14/04/2024;Kunyit Bubuk;Jar 250gr;1; Rp80.000 ; Rp80.000 
14/04/2024;Ketumbar Bubuk;Jar 55gr;3; Rp40.000 ; Rp120.000 
14/04/2024;Jahe Bubuk;Jar 250gr;1; Rp80.000 ; Rp80.000 
14/04/2024;Bawang Putih Bubuk;Ziplock 50gr;9; Rp20.000 ; Rp180.000 
14/04/2024;Cabe Bubuk;Ziplock 50gr;14; Rp20.000 ; Rp280.000 
14/04/2024;Merica Bubuk;Jar 55gr;5; Rp40.000 ; Rp200.000 
14/04/2024;Cabe Bubuk;Jar 55gr;6; Rp40.000 ; Rp240.000 
14/04/2024;Bawang Putih Bubuk;Jar 250gr;3; Rp100.000 ; Rp300.000 
15/04/2024;Daun Kelor Bubuk;Ziplock 125gr;2; Rp45.000 ; Rp90.000 
15/04/2024;Cabe Bubuk;Ziplock 50gr;9; Rp20.000 ; Rp180.000 
15/04/2024;Jahe Bubuk;Jar 250gr;2; Rp80.000 ; Rp160.000 
15/04/2024;Lengkuas Bubuk;Ziplock 50gr;2; Rp20.000 ; Rp40.000 
15/04/2024;Bawang Putih Bubuk;Jar 250gr;3; Rp80.000 ; Rp240.000 
15/04/2024;Arena Arabica Wine COffe;Dus 20gr;20; Rp8.000 ; Rp160.000 
15/04/2024;Daun Kelor Bubuk;Jar 50gr;1; Rp30.000 ; Rp30.000 
15/04/2024;Bawang Putih Bubuk;Jar 250gr;6; Rp80.000 ; Rp480.000 
15/04/2024;Kunyit Bubuk;Jar 250gr;1; Rp80.000 ; Rp80.000 
15/04/2024;Arena Gula Aren;Jar 300gr;2; Rp50.000 ; Rp100.000 
16/04/2024;Daun Kelor Bubuk;Ziplock 125gr;7; Rp45.000 ; Rp315.000 
16/04/2024;Merica Bubuk;Ziplock 50gr;1; Rp20.000 ; Rp20.000 
16/04/2024;Bawang Putih Bubuk;Jar 55gr;2; Rp40.000 ; Rp80.000 
16/04/2024;Merica Bubuk;Jar 55gr;5; Rp40.000 ; Rp200.000 
16/04/2024;Arena Gula Aren;Ziplock 200gr;10; Rp35.000 ; Rp350.000 
16/04/2024;Kunyit Bubuk;Ziplock 50gr;3; Rp20.000 ; Rp60.000 
16/04/2024;Cengkeh Bubuk;Ziplock 50gr;8; Rp25.000 ; Rp200.000 
16/04/2024;Cabe Bubuk;Jar 55gr;2; Rp40.000 ; Rp80.000 
17/04/2024;Cengkeh Bubuk;Ziplock 50gr;15; Rp25.000 ; Rp375.000 
17/04/2024;Cabe Bubuk;Jar 55gr;4; Rp40.000 ; Rp160.000 
17/04/2024;Merica Bubuk;Ziplock 50gr;4; Rp20.000 ; Rp80.000 
17/04/2024;Bawang Putih Bubuk;Jar 55gr;6; Rp40.000 ; Rp240.000 
17/04/2024;Merica Bubuk;Jar 55gr;7; Rp40.000 ; Rp280.000 
17/04/2024;Arena Gula Aren;Ziplock 200gr;4; Rp35.000 ; Rp140.000 
17/04/2024;Kunyit Bubuk;Jar 250gr;5; Rp80.000 ; Rp400.000 
17/04/2024;Bawang Putih Bubuk;Jar 250gr;6; Rp80.000 ; Rp480.000 
17/04/2024;Pala Bubuk;Jar 55gr;3; Rp40.000 ; Rp120.000 
18/04/2024;Merica Bubuk;Jar 55gr;5; Rp40.000 ; Rp200.000 
18/04/2024;Arena Gula Aren;Ziplock 200gr;3; Rp35.000 ; Rp105.000 
18/04/2024;Kunyit Bubuk;Jar 250gr;1; Rp80.000 ; Rp80.000 
18/04/2024;Bawang Putih Bubuk;Jar 250gr;2; Rp80.000 ; Rp160.000 
18/04/2024;Arena Gula Aren Sirup;Botol 500ml;3; Rp40.000 ; Rp120.000 
18/04/2024;Ketumbar Bubuk;Jar 55gr;5; Rp40.000 ; Rp200.000 
18/04/2024;Kunyit Bubuk;Jar 250gr;3; Rp80.000 ; Rp240.000 
18/04/2024;Kapulaga Bubuk;Ziplock 50gr;1; Rp25.000 ; Rp25.000 
18/04/2024;Cengkeh Bubuk;Jar 250gr;2; Rp100.000 ; Rp200.000 
19/04/2024;Pala Bubuk;Ziplock 50gr;3; Rp20.000 ; Rp60.000 
19/04/2024;Merica Bubuk;Ziplock 50gr;5; Rp20.000 ; Rp100.000 
19/04/2024;Cabe Bubuk;Ziplock 50gr;4; Rp20.000 ; Rp80.000 
19/04/2024;Bawang Bombay Bubuk;Ziplock 50gr;2; Rp25.000 ; Rp50.000 
19/04/2024;Kunyit Bubuk;Jar 250gr;2; Rp80.000 ; Rp160.000 
19/04/2024;Ketumbar Bubuk;Jar 55gr;6; Rp40.000 ; Rp240.000 
19/04/2024;Bawang Putih Bubuk;Jar 250gr;4; Rp80.000 ; Rp320.000 
19/04/2024;Pala Bubuk;Jar 55gr;1; Rp40.000 ; Rp40.000 
19/04/2024;Arena Gula Aren Sirup;Botol 500ml;5; Rp40.000 ; Rp200.000 
19/04/2024; Daun Kelor Bubuk;Ziplock 125gr;15; Rp45.000 ; Rp675.000 
20/04/2024;Bawang Bombay Bubuk;Ziplock 50gr;3; Rp25.000 ; Rp75.000 
20/04/2024;Kunyit Bubuk;Jar 250gr;1; Rp80.000 ; Rp80.000 
20/04/2024;Ketumbar Bubuk;Jar 55gr;4; Rp40.000 ; Rp160.000 
20/04/2024;Jahe Bubuk;Jar 250gr;2; Rp80.000 ; Rp160.000 
20/04/2024;Arena Gula Aren;Jar 300gr;2; Rp50.000 ; Rp100.000 
20/04/2024;Bawang Putih Bubuk;Ziplock 50gr;6; Rp20.000 ; Rp120.000 
20/04/2024;Cabe Bubuk;Ziplock 50gr;4; Rp20.000 ; Rp80.000 
20/04/2024;Cengkeh Bubuk;Jar 250gr;1; Rp100.000 ; Rp100.000 
20/04/2024;Merica Bubuk;Jar 55gr;5; Rp40.000 ; Rp200.000 
20/04/2024;Cabe Bubuk;Jar 55gr;15; Rp40.000 ; Rp600.000 
20/04/2024;Bawang Putih Bubuk;Jar 250gr;7; Rp100.000 ; Rp700.000 
21/04/2024;Cabe Bubuk;Ziplock 50gr;10; Rp20.000 ; Rp200.000 
21/04/2024;Arena Gula Aren;Jar 300gr;1; Rp50.000 ; Rp50.000 
21/04/2024;Bawang Putih Bubuk;Ziplock 50gr;2; Rp20.000 ; Rp40.000 
21/04/2024;Ketumbar Bubuk;Jar 55gr;6; Rp40.000 ; Rp240.000 
21/04/2024;Jahe Bubuk;Jar 250gr;4; Rp80.000 ; Rp320.000 
21/04/2024;Kunyit Bubuk;Jar 250gr;1; Rp80.000 ; Rp80.000 
22/04/2024;Kapulaga bubuk;Ziplock 50gr;5; Rp25.000 ; Rp125.000 
22/04/2024;Kunyit Bubuk;Ziplock 50gr;3; Rp20.000 ; Rp60.000 
22/04/2024;Merica Bubuk;Jar 55gr;5; Rp40.000 ; Rp200.000 
22/04/2024;Merica Bubuk;Ziplock 50gr;13; Rp20.000 ; Rp260.000 
22/04/2024;Cabe Bubuk;Ziplock 50gr;5; Rp20.000 ; Rp100.000 
22/04/2024;Daun Kelor Bubuk;Ziplock 125gr;3; Rp45.000 ; Rp135.000 
22/04/2024;Bawang Bombay Bubuk;Ziplock 50gr;5; Rp25.000 ; Rp125.000 
22/04/2024;Kunyit Bubuk;Jar 250gr;2; Rp80.000 ; Rp160.000 
22/04/2024;Ketumbar Bubuk;Jar 55gr;3; Rp40.000 ; Rp120.000 
22/04/2024;Arena Gula Aren Sirup;Botol 500ml;1; Rp40.000 ; Rp40.000 
22/04/2024;Jahe Bubuk;Jar 250gr;6; Rp80.000 ; Rp480.000 
23/04/2024;Arena Gula Aren Sirup;Botol 500ml;1; Rp40.000 ; Rp40.000 
23/04/2024;Daun Kelor Bubuk;Ziplock 125gr;8; Rp45.000 ; Rp360.000 
23/04/2024;Cabe Bubuk;Ziplock 50gr;13; Rp20.000 ; Rp260.000 
23/04/2024;Kunyit Bubuk;Jar 250gr;5; Rp80.000 ; Rp400.000 
24/04/2024;Cabe Bubuk;Ziplock 50gr;3; Rp20.000 ; Rp60.000 
24/04/2024;Jahe Bubuk;Jar 250gr;5; Rp80.000 ; Rp400.000 
24/04/2024;Bawang Putih Bubuk;Jar 250gr;2; Rp80.000 ; Rp160.000 
24/04/2024;Arena Gula Aren Sirup;Botol 500ml;3; Rp40.000 ; Rp120.000 
24/04/2024;Ketumbar Bubuk;Jar 55gr;1; Rp40.000 ; Rp40.000 
24/04/2024;Kunyit Bubuk;Jar 250gr;6; Rp80.000 ; Rp480.000 
24/04/2024;Kapulaga Bubuk;Ziplock 50gr;3; Rp25.000 ; Rp75.000 
24/04/2024;Cengkeh Bubuk;Jar 250gr;1; Rp100.000 ; Rp100.000 
25/04/2024;Daun Kelor Bubuk;Ziplock 125gr;3; Rp45.000 ; Rp135.000 
25/04/2024;Cabe Bubuk;Ziplock 50gr;5; Rp20.000 ; Rp100.000 
25/04/2024;Jahe Bubuk;Jar 250gr;1; Rp80.000 ; Rp80.000 
25/04/2024;Lengkuas Bubuk;Ziplock 50gr;2; Rp20.000 ; Rp40.000 
25/04/2024;Bawang Putih Bubuk;Jar 250gr;8; Rp80.000 ; Rp640.000 
25/04/2024;Arena Arabica Wine COffe;Dus 20gr;10; Rp8.000 ; Rp80.000 
25/04/2024;Daun Kelor Bubuk;Jar 50gr;4; Rp30.000 ; Rp120.000 
25/04/2024;Bawang Putih Bubuk;Jar 250gr;1; Rp80.000 ; Rp80.000 
25/04/2024;Kunyit Bubuk;Jar 250gr;4; Rp80.000 ; Rp320.000 
25/04/2024;Arena Gula Aren;Jar 300gr;3; Rp50.000 ; Rp150.000 
25/04/2024;Kapulaga Bubuk;Ziplock 50gr;1; Rp25.000 ; Rp25.000 
26/04/2024;Arena Gula Aren;Ziplock 200gr;3; Rp35.000 ; Rp105.000 
26/04/2024;Kunyit Bubuk;Jar 250gr;5; Rp80.000 ; Rp400.000 
26/04/2024;Bawang Putih Bubuk;Jar 250gr;1; Rp80.000 ; Rp80.000 
26/04/2024;Arena Gula Aren Sirup;Botol 500ml;2; Rp40.000 ; Rp80.000 
26/04/2024;Daun Kelor Bubuk;Ziplock 125gr;8; Rp45.000 ; Rp360.000 
26/04/2024;Bawang Bombay Bubuk;Ziplock 50gr;2; Rp25.000 ; Rp50.000 
26/04/2024;Kunyit Bubuk;Jar 250gr;7; Rp80.000 ; Rp560.000 
26/04/2024;Ketumbar Bubuk;Jar 55gr;12; Rp40.000 ; Rp480.000 
27/04/2024;Jahe Bubuk;Jar 250gr;2; Rp80.000 ; Rp160.000 
27/04/2024;Arena Gula Aren;Jar 300gr;7; Rp50.000 ; Rp350.000 
27/04/2024;Bawang Putih Bubuk;Ziplock 50gr;5; Rp20.000 ; Rp100.000 
28/04/2024;Daun Kelor Bubuk;Ziplock 125gr;2; Rp45.000 ; Rp90.000 
28/04/2024;Kapulaga Bubuk;Ziplock 50gr;4; Rp25.000 ; Rp100.000 
28/04/2024;Cengkeh Bubuk;Jar 250gr;1; Rp100.000 ; Rp100.000 
28/04/2024;Kunyit Bubuk;Jar 250gr;1; Rp80.000 ; Rp80.000 
28/04/2024;Ketumbar Bubuk;Jar 55gr;2; Rp40.000 ; Rp80.000 
29/04/2024;Cabe Bubuk;Ziplock 50gr;12; Rp20.000 ; Rp240.000 
29/04/2024;Jahe Bubuk;Jar 250gr;2; Rp80.000 ; Rp160.000 
29/04/2024;Kunyit Bubuk;Jar 250gr;7; Rp80.000 ; Rp560.000 
30/04/2024;Bawang Bombay Bubuk;Ziplock 50gr;5; Rp25.000 ; Rp125.000 
30/04/2024;Kunyit Bubuk;Jar 250gr;2; Rp80.000 ; Rp160.000 
30/04/2024;Ketumbar Bubuk;Jar 55gr;4; Rp40.000 ; Rp160.000 
30/04/2024;Jahe Bubuk;Jar 250gr;1; Rp80.000 ; Rp80.000 
30/04/2024;Arena Gula Aren;Jar 300gr;1; Rp50.000 ; Rp50.000 
30/04/2024;Bawang Putih Bubuk;Ziplock 50gr;3; Rp20.000 ; Rp60.000 
30/04/2024;Cabe Bubuk;Ziplock 50gr;6; Rp20.000 ; Rp120.000 
30/04/2024;Cengkeh Bubuk;Jar 250gr;2; Rp100.000 ; Rp200.000 
30/04/2024;Merica Bubuk;Jar 55gr;4; Rp40.000 ; Rp160.000 
30/04/2024;Cabe Bubuk;Jar 55gr;1; Rp40.000 ; Rp40.000 
30/04/2024;Bawang Putih Bubuk;Jar 250gr;1; Rp100.000 ; Rp100.000 
01/05/2024;Bawang Putih Bubuk;Ziplock 50gr;12; Rp20.000 ; Rp240.000 
01/05/2024;Merica Bubuk;Ziplock 50gr;2; Rp20.000 ; Rp40.000 
01/05/2024;Daun Kelor Bubuk;Jar 50gr;7; Rp30.000 ; Rp210.000 
01/05/2024;Kunyit Bubuk;Ziplock 50gr;5; Rp20.000 ; Rp100.000 
01/05/2024;Ketumbar Bubuk;Jar 55gr;1; Rp40.000 ; Rp40.000 
01/05/2024;Arena Gula Aren;Ziplock 200gr;6; Rp35.000 ; Rp210.000 
02/05/2024;Cabe Bubuk;Jar 55gr;3; Rp40.000 ; Rp120.000 
02/05/2024;Bawang Putih Bubuk;Jar 55gr;2; Rp40.000 ; Rp80.000 
02/05/2024;Jahe Bubuk;Jar 50gr;5; Rp50.000 ; Rp250.000 
02/05/2024;Daun Kelor Bubuk;Ziplock 125gr;2; Rp45.000 ; Rp90.000 
02/05/2024;Cabe Bubuk;Ziplock 50gr;4; Rp20.000 ; Rp80.000 
02/05/2024;Jahe Bubuk;Jar 250gr;1; Rp80.000 ; Rp80.000 
02/05/2024;Lengkuas Bubuk;Ziplock 50gr;1; Rp20.000 ; Rp20.000 
03/05/2024;Bawang Bombay Bubuk;Ziplock 50gr;3; Rp25.000 ; Rp75.000 
03/05/2024;Pala Bubuk;Jar 55gr;6; Rp45.000 ; Rp270.000 
03/05/2024;Cengkeh Bubuk;Ziplock 50gr;2; Rp25.000 ; Rp50.000 
03/05/2024;Bawang Putih Bubuk;Jar 250gr;8; Rp80.000 ; Rp640.000 
03/05/2024;Arena Arabica Wine COffe;Dus 20gr;10; Rp8.000 ; Rp80.000 
03/05/2024;Daun Kelor Bubuk;Jar 50gr;7; Rp30.000 ; Rp210.000 
04/05/2024;Cabe Bubuk;Jar 55gr;5; Rp40.000 ; Rp200.000 
04/05/2024;Kapulaga bubuk;Ziplock 50gr;1; Rp25.000 ; Rp25.000 
04/05/2024;Kunyit Bubuk;Ziplock 50gr;3; Rp20.000 ; Rp60.000 
04/05/2024;Merica Bubuk;Jar 55gr;2; Rp40.000 ; Rp80.000 
04/05/2024;Ketumbar Bubuk;Jar 55gr;4; Rp40.000 ; Rp160.000 
04/05/2024;Jahe Bubuk;Jar 250gr;2; Rp80.000 ; Rp160.000 
04/05/2024;Arena Gula Aren;Jar 300gr;2; Rp50.000 ; Rp100.000 
04/05/2024;Bawang Putih Bubuk;Ziplock 50gr;5; Rp20.000 ; Rp100.000 
